FindLaw,http://www.findlaw.com/01topics/index.html,英語,美國,
CornellLII,http://www.law.cornell.edu/ ,英語,美國,
LawyerShop,http://www.lawyershop.com/,英語,美國,
JURIST-Legal News and Research,http://jurist.law.pitt.edu/,英語,美國,
Justice.uk,http://www.justice.gov.uk/index.htm,英語,英國,
AustLII,http://www.austlii.edu.au/,英語,世界各國,
Legal Databases Resources,http://law.indiana.edu/lawlibrary/research/resources/list.php?cat=1,英語,美國,
Ｍartindale,http://www.martindale.com/#,英語,美國,
Portal｜LexisNexis,http://www.lexisnexis.com/community/portal/,英語,美國,
International Association of Prosecutors,http://www.iap-association.org/default.aspx,英語,世界各國,
Institute for Learning Technologies,http://www.ilt.columbia.edu/,英語,美國,
THOMAS (Library of Congress),http://thomas.loc.gov/home/thomas.php,英語,美國,
LawLink,http://www.lawlink.com/qa_home_public.aspx?qcatid=30,英語,世界各國,
The United States House of Representatives,http://www.house.gov/,英語,美國,
The White House,http://www.whitehouse.gov/,英語,美國,
Westlaw International,http://www.westlawinternational.com/,英語,世界各國,
World Legal Information Institute,http://www.worldlii.org/,英語,世界各國,
Institute of Advanced Legal Studies,http://ials.sas.ac.uk/,英語,英國,
Global Legal Information Network,http://www.glin.gov/,英語,美國,
Cardiff Index to Legal Abbreviations,http://www.legalabbrevs.cardiff.ac.uk/,英語,英國,
Lexum,http://www.lexum.org/,英語,世界各國,
AsianLII,http://www.asianlii.org/,英語,世界各國,
Droit,http://www.droit.org/,英語,世界各國,
Korea Legislation Research Institute,http://www.klri.re.kr/kor/main.do,韓語,韓國,
CrimProf Blog,http://lawprofessors.typepad.com/crimprof_blog/,英語,美國,
"British and Irish Legal Information Institute",http://www.bailii.org/,英語,英國,
UK statute law database,http://www.legislation.gov.uk/,英語,英國,
Law Journals,http://lawlib.wlu.edu/LJ/,英語,美國,
The Oyez Project,http://www.oyez.org/,英語,美國,
Berkeley Electronic Press,http://www.bepress.com/,英語,美國,
EUR-Lex,http://eur-lex.europa.eu/en/index.htm,英語,世界各國,
Law Library of congress,http://www.loc.gov/law/,英語,美國,該網站為美國官方網站，主要可查詢美國法律、條例、條約等等為主，裡面也有提供各國司法知識庫的連結。 
Law Dictionary,http://dictionary.law.com/,英語,美國,該網站提供法律名詞字義查詢，可以一般用語查詢法律用語，或法律上類似用語，並可查其字義，但無法透過字義查詢連結相關法規。
厚生勞動省法令 ,http://wwwhourei.mhlw.go.jp/hourei/,日語,日本, 該網站提供日本法規查詢，屬於官方網站，可透過站內連結至日本法令翻譯的網站(英文)，並以法律名詞作為關鍵字查詢日本法規與該名詞之字義。
Free Legal Dictionary,http://legal-dictionary.thefreedictionary.com/,英語,美國,該網站本身為免費的線上字典，可藉由法律字典，查詢某個單字在各法律上所使用的專有名詞與意思。
法庫,http://www.houko.com/,日語,日本,日本法令修正、制定等資訊及日本法規搜尋。
JaLII,http://www.japaneselawtranslation.go.jp/?re=01,日語,日本,日本法令搜索與英譯。
E-Gov,http://law.e-gov.go.jp/cgi-bin/idxsearch.cgi,日文,日本,
Hong Kong Bilingual Laws Information System,http://www.legislation.gov.hk/index.htm,中文,香港,
European Legal Database on Drugs,http://www.emcdda.europa.eu/eldd,英文,世界各國,
Vietnam Laws Online Database,http://www.vietnamlaws.com/online_database.aspx,英文,越南,
Law in Context (Baker & McKenzie),https://www.lawincontext.com/gateway/(S(55c45555llcychiusjnjy533))/login.aspx,英文,美國,
Denmark Legal Information Database,https://www.retsinformation.dk/,丹麥文,丹麥,
Norway Translated Laws,http://www.ub.uio.no/ujur/ulov,挪威文,挪威,
Sweden Translated Laws,http://www.sweden.gov.se/sb/d/328,瑞士文,瑞士,
Europa.edu Database,http://europa.eu/documentation/legislation/index_en.htm,英文,世界各國,
Korean Translated Laws,http://elaw.klri.re.kr/eng/main.do,韓文,韓國,
Korean Law in English,http://www.moleg.go.kr/english/korLawEng,英文,韓國,
China Guiding Cases,https://cgc.law.stanford.edu/,中文,中國,
Japanese Law Translation,http://www.japaneselawtranslation.go.jp/,日文,日本,
Zambian Legal Information Institute,http://www.zamlii.ac.zm/,柬埔寨文,柬埔寨,
Southern African Legal Information Institute (SAFLII),http://www.saflii.org/,英文,南非,
Irish Legal Information Initiative (IRLII),http://www.ucc.ie/law/irlii/index.php,英文,愛爾蘭,
Kenya Law Reports (eKLR),http://www.kenyalaw.org/klr/index.php,英文,肯亞,
Juristiches Internetprojekt Saarbrücken (JPS),http://www.jura.uni-saarland.de/,德文,德國,
JuriNiger (French Law Database),http://juriniger.org/juriniger/,法文,法國,
